name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
GEESAT-6 02,65714,26,217.02762172,49.9874,82.1835,0.001003,41.1105,319.0587,890.0998302,-0.00010271,U,active,1 65714U 25214C   26217.02762172 -.00001083  00000+0 -10271-3 0  9999,2 65714  49.9874  82.1835 0010030  41.1105 319.0587 14.83499717 46757,6996.4359519124755,97.06776371430882,625.4359519124755
GEESAT-6 03,65715,26,216.98977644,49.98230000000001,81.8928,0.0013263,50.1158,310.0944,890.1209034000001,0.00017921000000000001,U,active,1 65715U 25214D   26216.98977644  .00001264  00000+0  17921-3 0  9994,2 65715  49.9823  81.8928 0013263  50.1158 310.0944 14.83534839 46753,6996.325526556925,97.06546567997381,625.3255265569251
GEESAT-6 04,65716,26,216.99747463,49.9854,82.0366,0.0009498,52.564,307.6161,890.0956578,0.00017586,U,active,1 65716U 25214E   26216.99747463  .00001235  00000+0  17586-3 0  9995,2 65716  49.9854  82.0366 0009498  52.5640 307.6161 14.83492763 46756,6996.457816159164,97.06821872780515,625.4578161591644
GEESAT-6 05,65717,26,217.02018213,49.98,82.0169,0.0012792,39.8889,320.2987,890.1072870000002,0.00016111,U,active,1 65717U 25214F   26217.02018213  .00001113  00000+0  16111-3 0  9993,2 65717  49.9800  82.0169 0012792  39.8889 320.2987 14.83512145 46757,6996.396877149831,97.06695053716597,625.3968771498312
GEESAT-6 06,65718,26,215.99299509,49.9908,84.70200000000001,0.0010154,61.1148,299.0807,889.9598970000002,0.00017193000000000002,U,active,1 65718U 25214G   26215.99299509  .00001195  00000+0  17193-3 0  9998,2 65718  49.9908  84.7020 0010154  61.1148 299.0807 14.83266495 46633,6997.169324296242,97.08302620292113,626.1693242962419
GEESAT-6 07,65719,26,216.98256871,49.9803,81.7884,0.0009946,61.29780000000001,298.8958,890.099589,0.00017846000000000002,U,active,1 65719U 25214H   26216.98256871  .00001257  00000+0  17846-3 0  9998,2 65719  49.9803  81.7884 0009946  61.2978 298.8958 14.83499315 46769,6996.437215846156,97.06779001782013,625.4372158461556
GEESAT-6 08,65720,26,217.00531464,49.991400000000006,82.2388,0.0009748,41.985,318.1834,890.0996136,0.0001581,U,active,1 65720U 25214J   26217.00531464  .00001087  00000+0  15810-3 0  9998,2 65720  49.9914  82.2388 0009748  41.9850 318.1834 14.83499356 46756,6996.437086937471,97.06778733512306,625.4370869374707
GEESAT-6 09,65721,26,217.01233629,49.9848,82.0854,0.0008604,37.5198,322.6339,890.1078072000001,0.00015781,U,active,1 65721U 25214K   26217.01233629  .00001085  00000+0  15781-3 0  9997,2 65721  49.9848  82.0854 0008604  37.5198 322.6339 14.83513012 46751,6996.394151243313,97.06689380895028,625.394151243313
GEESAT-6 10,65722,26,217.03494805,49.990100000000005,82.3841,0.0011784,61.6868,298.5258,890.1077693999998,0.00016097,U,active,1 65722U 25214L   26217.03494805  .00001111  00000+0  16097-3 0  9996,2 65722  49.9901  82.3841 0011784  61.6868 298.5258 14.83512949 46755,6996.3943493194765,97.06689793106754,625.3943493194765
GEESAT-6 11,65723,26,216.97511778,49.98360000000001,81.8372,0.0010138,50.84640000000001,309.3373000000001,890.1015834,0.00017741000000000002,U,active,1 65723U 25214M   26216.97511778  .00001248  00000+0  17741-3 0  9996,2 65723  49.9836  81.8372 0010138  50.8464 309.3373 14.83502639 46754,6996.426764829586,97.06757252354305,625.4267648295863
